section,key,english,malayalam,notes
mission,mission.cta.button,Roadmap and milestones,റോഡ്മാപ്പും നാഴികക്കല്ലുകളും,
# === ROADMAP PAGE ===,,,,
roadmap,roadmap.meta.title,Roadmap,റോഡ്മാപ്പ്,
roadmap,roadmap.hero.pillIndex,P3,പി3,
roadmap,roadmap.hero.pillLabel,9 milestones,9 നാഴികക്കല്ലുകൾ,
roadmap,roadmap.hero.titlePrefix,From convening to,സമ്മേളനം മുതൽ,
roadmap,roadmap.hero.titleItalic,measurable impact.,അളക്കാവുന്ന ആഘാതം.,
roadmap,roadmap.hero.lede,Nine sequential milestones structure the journey from launch to evidence of healthcare impact at the population level. Each milestone has a defined output and a defined owner.,ജനസംഖ്യാ തലത്തിൽ ആരോഗ്യ സംരക്ഷണത്തിലെ സ്വാധീനത്തിന്റെ തെളിവിലേക്കുള്ള യാത്രയെ തുടർച്ചയായ ഒമ്പത് നാഴികക്കല്ലുകൾ രൂപപ്പെടുത്തുന്നു. ഓരോ നാഴികക്കല്ലിനും നിർവചിക്കപ്പെട്ട ഒരു ഔട്ട്പുട്ടും നിർവചിക്കപ്പെട്ട ഒരു ഉടമയുമുണ്ട്.,
roadmap,roadmap.act1.label,Act I,ആക്റ്റ് I,
roadmap,roadmap.act1.title,Convene the network.,നെറ്റ്‌വർക്ക് കൂട്ടിച്ചേർക്കുക.,
roadmap,roadmap.act1.subtitle,Stand up the governance structures and the people who will hold them.,ഭരണ ഘടനകളെയും അവയെ താങ്ങിനിർത്തുന്ന ആളുകളെയും ഉയർത്തിപ്പിടിക്കുക.,
roadmap,roadmap.act2.label,Act II,ആക്റ്റ് II,
roadmap,roadmap.act2.title,"Map the gaps, build the response.","വിടവുകൾ മാപ്പ് ചെയ്യുക, പ്രതികരണം നിർമ്മിക്കുക.",
roadmap,roadmap.act2.subtitle,"Inventory what's missing, then route resources and capacity to close it.","എന്താണ് നഷ്ടപ്പെട്ടതെന്ന് ഇൻവെന്ററി ചെയ്യുക, തുടർന്ന് അത് അടയ്ക്കുന്നതിനുള്ള വിഭവങ്ങളും ശേഷിയും റൂട്ട് ചെയ്യുക.",
roadmap,roadmap.act3.label,Act III,ആക്റ്റ് III,
roadmap,roadmap.act3.title,Prove it at the population level.,ജനസംഖ്യാ തലത്തിൽ അത് തെളിയിക്കുക.,
roadmap,roadmap.act3.subtitle,Operational reporting and societal indicators that the model can be held to.,മോഡലിന് പിടിച്ചുനിൽക്കാൻ കഴിയുന്ന പ്രവർത്തന റിപ്പോർട്ടിംഗും സാമൂഹിക സൂചകങ്ങളും.,
roadmap,roadmap.act.progressLabel,M{from} - M{to} · {count} of 9,9 ൽ {എണ്ണം} മുതൽ 9 വരെ · 9 മുതൽ 9 വരെ,Milestone range label
roadmap,roadmap.hundredDay.kicker,100-day plan,100 ദിവസത്തെ പദ്ധതി,
roadmap,roadmap.hundredDay.title,Six immediate actions to begin operating.,പ്രവർത്തനം ആരംഭിക്കുന്നതിനുള്ള ആറ് അടിയന്തര നടപടികൾ.,
roadmap,roadmap.resourcing.kicker,Resourcing,റിസോഴ്‌സിംഗ്,
roadmap,roadmap.resourcing.title,Five categories that fund the operation.,പ്രവർത്തനത്തിന് ധനസഹായം നൽകുന്ന അഞ്ച് വിഭാഗങ്ങൾ.,
roadmap,roadmap.cta.title,Hear who shaped this roadmap.,ഈ റോഡ്മാപ്പ് ആരാണ് രൂപപ്പെടുത്തിയതെന്ന് കേൾക്കൂ.,
roadmap,roadmap.cta.body,"The voices, frictions, and convictions of the clinicians, policy-makers, and community leaders who showed up to the workshop.","വർക്ക്‌ഷോപ്പിൽ പങ്കെടുത്ത ക്ലിനിക്കുകളുടെയും നയരൂപീകരണ വിദഗ്ധരുടെയും സമൂഹ നേതാക്കളുടെയും ശബ്ദങ്ങൾ, സംഘർഷങ്ങൾ, ബോധ്യങ്ങൾ.",
roadmap,roadmap.cta.button,Voices from the workshop,വർക്ക്ഷോപ്പിൽ നിന്നുള്ള ശബ്ദങ്ങൾ,
# === VOICES PAGE ===,,,,
voices,voices.meta.title,Voices,ശബ്ദങ്ങൾ,
voices,voices.hero.kicker,Stakeholder voices,പങ്കാളികളുടെ ശബ്ദങ്ങൾ,
voices,voices.hero.titlePrefix,The people who showed up -,വന്ന ആളുകൾ -,
voices,voices.hero.titleItalic,and what they said.,അവർ പറഞ്ഞതും.,
voices,voices.hero.lede,"Active participation came from healthcare, policy, industry, community organisations, technology, and lived experience.","ആരോഗ്യ സംരക്ഷണം, നയം, വ്യവസായം, കമ്മ്യൂണിറ്റി സംഘടനകൾ, സാങ്കേതികവിദ്യ, ജീവിതാനുഭവം എന്നിവയിൽ നിന്നാണ് സജീവ പങ്കാളിത്തം ഉണ്ടായത്.",
voices,voices.filterLabel,Filter,ഫിൽട്ടർ,
voices,voices.filter.all,All,എല്ലാം,
voices,voices.filter.policy,Policy,നയം,
voices,voices.filter.clinical,Clinical,ക്ലിനിക്കൽ,
voices,voices.filter.community,Community,സമൂഹം,
voices,voices.filter.industry,Industry,വ്യവസായം,
voices,voices.filter.tech,Tech,ടെക്,
voices,voices.shownSingular,{n} voice shown,{n} ശബ്ദം കാണിച്ചിരിക്കുന്നു,Screen-reader live region
voices,voices.shownPlural,{n} voices shown,{n} ശബ്ദങ്ങൾ കാണിച്ചിരിക്കുന്നു,
voices,voices.cta.title,Find where your capability fits.,നിങ്ങളുടെ കഴിവ് എവിടെയാണ് യോജിക്കുന്നതെന്ന് കണ്ടെത്തുക.,
voices,voices.cta.body,"Six engagement pathways, mapped to the five Star Model groups. Pick the one that matches what you can bring.",അഞ്ച് സ്റ്റാർ മോഡൽ ഗ്രൂപ്പുകളിലേക്ക് മാപ്പ് ചെയ്ത ആറ് ഇടപഴകൽ പാതകൾ. നിങ്ങൾക്ക് കൊണ്ടുവരാൻ കഴിയുന്നതിനോട് പൊരുത്തപ്പെടുന്ന ഒന്ന് തിരഞ്ഞെടുക്കുക.,
voices,voices.cta.button,Engagement pathways,ഇടപെടൽ പാതകൾ,
# === ENGAGE PAGE ===,,,,
engage,engage.meta.title,Engage,ഇടപെടുക,
engage,engage.hero.kicker,6 pathways,6 പാതകൾ,
engage,engage.hero.titlePrefix,"Where you fit,","നിങ്ങൾക്ക് ചേരുന്നിടത്ത്,",
engage,engage.hero.titleItalic,and what to do next.,പിന്നെ എന്ത് ചെയ്യണം.,
engage,engage.hero.lede,"Many roles, many pathways, one network. Each pathway below maps to one of the five Star Model groups.","നിരവധി റോളുകൾ, നിരവധി പാതകൾ, ഒരു ശൃംഖല. താഴെയുള്ള ഓരോ പാതയും അഞ്ച് സ്റ്റാർ മോഡൽ ഗ്രൂപ്പുകളിൽ ഒന്നിലേക്ക് മാപ്പ് ചെയ്യുന്നു.",
engage,engage.inline.prefix,Already know what you bring?,നീ എന്താണ് കൊണ്ടുവരുന്നതെന്ന് ഇതിനകം അറിയാമോ?,
engage,engage.inline.label,Contact us directly,ഞങ്ങളെ നേരിട്ട് ബന്ധപ്പെടുക,
engage,engage.card.label,If you are,നിങ്ങളാണെങ്കിൽ,
engage,engage.cta.kicker,Get in touch,ബന്ധപ്പെടുക,
engage,engage.cta.titlePrefix,Bring your capability -,നിങ്ങളുടെ കഴിവ് കൊണ്ടുവരിക -,
engage,engage.cta.titleItalic,the network will route it.,നെറ്റ്‌വർക്ക് അതിനെ റൂട്ട് ചെയ്യും.,
engage,engage.cta.body,"Reach IMA Cochin to begin a conversation. Specify which Star Model group you align with, and what you can contribute - funds, people, materials, software, or simply your block of homes.","ഒരു സംഭാഷണം ആരംഭിക്കാൻ IMA കൊച്ചിയിൽ എത്തുക. നിങ്ങൾ ഏത് സ്റ്റാർ മോഡൽ ഗ്രൂപ്പുമായി യോജിച്ചു പ്രവർത്തിക്കുന്നു എന്നും നിങ്ങൾക്ക് എന്ത് സംഭാവന നൽകാമെന്നും വ്യക്തമാക്കുക - ഫണ്ടുകൾ, ആളുകൾ, മെറ്റീരിയലുകൾ, സോഫ്റ്റ്‌വെയർ, അല്ലെങ്കിൽ നിങ്ങളുടെ വീടുകളുടെ ബ്ലോക്ക് മാത്രം.",
engage,engage.cta.button,Contact IMA Cochin,ഐഎംഎ കൊച്ചിനെ ബന്ധപ്പെടുക,
# === ABOUT PAGE ===,,,,
about,about.meta.title,About,കുറിച്ച്,
about,about.hero.kicker,Challenges · FAQ · Glossary,വെല്ലുവിളികൾ · പതിവ് ചോദ്യങ്ങൾ · ഗ്ലോസറി,
about,about.hero.titlePrefix,The questions that,ആ ചോദ്യങ്ങൾ,
about,about.hero.titleItalic,come up first.,ആദ്യം വരൂ.,
about,about.hero.lede,"Three strategic challenges, the operational questions that surface in executive committees, and a short reference for terms used throughout.","മൂന്ന് തന്ത്രപരമായ വെല്ലുവിളികൾ, എക്സിക്യൂട്ടീവ് കമ്മിറ്റികളിൽ ഉയർന്നുവരുന്ന പ്രവർത്തനപരമായ ചോദ്യങ്ങൾ, എല്ലായിടത്തും ഉപയോഗിക്കുന്ന പദങ്ങളുടെ ഒരു ചെറിയ പരാമർശം.",
about,about.challenges.kicker,Strategic challenges,തന്ത്രപരമായ വെല്ലുവിളികൾ,
about,about.challenges.title,"Three challenges, framed by Rajeev Sadanandan IAS.",രാജീവ് സദാനന്ദൻ ഐഎഎസ് രൂപപ്പെടുത്തിയ മൂന്ന് വെല്ലുവിളികൾ.,
about,about.challenges.quote,The ideas presented by IMA resonate with the needs of the broader community. Sector-wise discussions should now be undertaken and consolidated into the final project proposal.,ഐ‌എം‌എ അവതരിപ്പിക്കുന്ന ആശയങ്ങൾ വിശാലമായ സമൂഹത്തിന്റെ ആവശ്യങ്ങളുമായി പ്രതിധ്വനിക്കുന്നു. മേഖലാടിസ്ഥാനത്തിലുള്ള ചർച്ചകൾ ഇപ്പോൾ ഏറ്റെടുത്ത് അന്തിമ പദ്ധതി നിർദ്ദേശത്തിൽ സംയോജിപ്പിക്കണം.,
about,about.challenges.attribution,"Rajeev Sadanandan IAS · Former Health Secretary, Kerala","രാജീവ് സദാനന്ദൻ ഐ.എ.എസ് · മുൻ ആരോഗ്യ സെക്രട്ടറി, കേരളം",
about,about.faq.kicker,Frequently asked,പതിവായി ചോദിക്കുന്നത്,
about,about.faq.title,Operational questions that come up first.,ആദ്യം വരുന്ന പ്രവർത്തനപരമായ ചോദ്യങ്ങൾ.,
about,about.glossary.kicker,Glossary,പദാവലി,
about,about.glossary.title,A short reference for the terms used throughout.,ഉടനീളം ഉപയോഗിച്ചിരിക്കുന്ന പദങ്ങളുടെ ഒരു ചെറിയ റഫറൻസ്.,
about,about.glossary.searchLabel,Search terms,തിരയൽ പദങ്ങൾ,
about,about.glossary.searchPlaceholder,"Try ""SPV"", ""EMR"", ""Arike""…","""SPV"", ""EMR"", ""Arike"" എന്നിവ പരീക്ഷിച്ചു നോക്കൂ...",
about,about.glossary.empty,No terms match that search.,ആ തിരയലുമായി പൊരുത്തപ്പെടുന്ന പദങ്ങളൊന്നുമില്ല.,
about,about.glossary.shownSingular,{n} term shown,{n} എന്ന പദം കാണിച്ചിരിക്കുന്നു,
about,about.glossary.shownPlural,{n} terms shown,{n} പദങ്ങൾ കാണിച്ചിരിക്കുന്നു,
# === CONTENT · PRINCIPLES (5) ===,,,,
content,principles.1.title,Home as the unit of care,പരിചരണത്തിന്റെ യൂണിറ്റായി വീട്,
content,principles.1.body,"Healthcare is delivered closer to people's homes, supported by trained caregivers and community networks.","പരിശീലനം ലഭിച്ച പരിചരണകരുടെയും കമ്മ്യൂണിറ്റി നെറ്റ്‌വർക്കുകളുടെയും പിന്തുണയോടെ, ആരോഗ്യ സംരക്ഷണം ആളുകളുടെ വീടുകൾക്ക് അടുത്ത് എത്തിക്കുന്നു.",
content,principles.2.title,Professional ownership,പ്രൊഫഷണൽ ഉടമസ്ഥാവകാശം,
content,principles.2.body,"Healthcare professionals take responsibility for defined communities, reviving the family doctor relationship.","കുടുംബ ഡോക്ടർ ബന്ധം പുനരുജ്ജീവിപ്പിച്ചുകൊണ്ട്, നിർവചിക്കപ്പെട്ട സമൂഹങ്ങളുടെ ഉത്തരവാദിത്തം ആരോഗ്യ സംരക്ഷണ വിദഗ്ധർ ഏറ്റെടുക്കുന്നു.",
content,principles.3.title,Empowered communities,ശാക്തീകരിക്കപ്പെട്ട സമൂഹങ്ങൾ,
content,principles.3.body,"Communities participate actively in care delivery, not merely as recipients but as co-creators.","പരിചരണ വിതരണത്തിൽ സമൂഹങ്ങൾ സജീവമായി പങ്കെടുക്കുന്നു, കേവലം സ്വീകർത്താക്കൾ എന്ന നിലയിൽ മാത്രമല്ല, സഹ-സ്രഷ്ടാക്കൾ എന്ന നിലയിലും.",
content,principles.4.title,Seamless coordination,സുഗമമായ ഏകോപനം,
content,principles.4.body,"Technology enables coordination between stakeholders, integrating EMR, CMR, and open platforms.","സാങ്കേതികവിദ്യ പങ്കാളികൾ തമ്മിലുള്ള ഏകോപനം പ്രാപ്തമാക്കുന്നു, EMR, CMR, ഓപ്പൺ പ്ലാറ്റ്‌ഫോമുകൾ എന്നിവ സംയോജിപ്പിക്കുന്നു.",
content,principles.5.title,Equitable access,തുല്യ പ്രവേശനം,
content,principles.5.body,"Healthcare remains equitable, accessible, and affordable, with cross-subsidy supporting vulnerable populations.","ക്രോസ്-സബ്‌സിഡി ദുർബല ജനവിഭാഗങ്ങളെ പിന്തുണയ്ക്കുന്നതിനൊപ്പം, ആരോഗ്യ സംരക്ഷണം തുല്യവും, ആക്‌സസ് ചെയ്യാവുന്നതും, താങ്ങാനാവുന്നതുമായി തുടരുന്നു.",
# === CONTENT · STAKEHOLDERS (5) ===,,,,
content,stakeholders.hcp.label,Health Care Professionals,ആരോഗ്യ പരിപാലന പ്രൊഫഷണലുകൾ,
content,stakeholders.hcp.group,Clinical,ക്ലിനിക്കൽ,
content,stakeholders.hcp.body,"The clinical anchor of the network, organised by district and integrated through IMA.",ജില്ല സംഘടിപ്പിച്ചതും ഐ.എം.എ. വഴി സംയോജിപ്പിച്ചതുമായ ശൃംഖലയുടെ ക്ലിനിക്കൽ ആങ്കർ.,
content,stakeholders.hcp.members,"Medical doctors, specialist associations, dentists, nurses, therapists, technicians.","മെഡിക്കൽ ഡോക്ടർമാർ, സ്പെഷ്യലിസ്റ്റ് അസോസിയേഷനുകൾ, ദന്തഡോക്ടർമാർ, നഴ്‌സുമാർ, തെറാപ്പിസ്റ്റുകൾ, ടെക്‌നീഷ്യൻമാർ.",
content,stakeholders.hcp.tagline,The clinical anchor.,ക്ലിനിക്കൽ ആങ്കർ.,
content,stakeholders.hcp.metricLabel,IMA members in Kerala,കേരളത്തിലെ ഐ.എം.എ അംഗങ്ങൾ,
content,stakeholders.lsg.label,Local Self Government,തദ്ദേശ സ്വയംഭരണം,
content,stakeholders.lsg.group,Governance,ഭരണം,
content,stakeholders.lsg.body,Connects the network formally to public health infrastructure.,പൊതുജനാരോഗ്യ അടിസ്ഥാന സൗകര്യങ്ങളുമായി നെറ്റ്‌വർക്കിനെ ഔപചാരികമായി ബന്ധിപ്പിക്കുന്നു.,
content,stakeholders.lsg.members,"District Panchayat, Municipal bodies, ASHA workers, Community Nurses, PHC Medical Officers, ward members.","ജില്ലാ പഞ്ചായത്ത്, മുനിസിപ്പൽ സ്ഥാപനങ്ങൾ, ആശാ വർക്കർമാർ, കമ്മ്യൂണിറ്റി നഴ്‌സുമാർ, പിഎച്ച്‌സി മെഡിക്കൽ ഓഫീസർമാർ, വാർഡ് അംഗങ്ങൾ.",
content,stakeholders.lsg.tagline,The public health spine.,പൊതുജനാരോഗ്യ നട്ടെല്ല്.,
content,stakeholders.lsg.metricLabel,panchayats statewide,സംസ്ഥാനമൊട്ടാകെയുള്ള പഞ്ചായത്തുകൾ,
content,stakeholders.neigh.label,Neighbourhood,അയൽപ്പക്കം,
content,stakeholders.neigh.group,Community,സമൂഹം,
content,stakeholders.neigh.body,"The day-to-day fabric of mutual support, where care is given and received among people who already know each other.",പരസ്പരം അറിയാവുന്ന ആളുകൾക്കിടയിൽ പരിചരണം നൽകുകയും സ്വീകരിക്കുകയും ചെയ്യുന്ന പരസ്പര പിന്തുണയുടെ ദൈനംദിന ഘടന.,
content,stakeholders.neigh.members,Residents' Associations and Flat Owners' Associations.,റസിഡന്റ്സ് അസോസിയേഷനുകളും ഫ്ലാറ്റ് ഓണേഴ്‌സ് അസോസിയേഷനുകളും.,
content,stakeholders.neigh.tagline,Where care actually happens.,പരിചരണം യഥാർത്ഥത്തിൽ സംഭവിക്കുന്നിടത്ത്.,
content,stakeholders.neigh.metricLabel,households per cluster,ക്ലസ്റ്റർ പ്രകാരം വീടുകൾ,
content,stakeholders.sso.label,Social Service Organisations,സാമൂഹിക സേവന സംഘടനകൾ,
content,stakeholders.sso.group,Social,സാമൂഹികം,
content,stakeholders.sso.body,Carry decades of trust and experience in community work.,കമ്മ്യൂണിറ്റി പ്രവർത്തനങ്ങളിൽ പതിറ്റാണ്ടുകളുടെ വിശ്വാസവും പരിചയവും വഹിക്കുക.,
content,stakeholders.sso.members,"Charitable trusts, palliative bodies, social service groups already embedded in care delivery.","ചാരിറ്റബിൾ ട്രസ്റ്റുകൾ, പാലിയേറ്റീവ് ബോഡികൾ, സാമൂഹിക സേവന ഗ്രൂപ്പുകൾ എന്നിവ ഇതിനകം പരിചരണ വിതരണത്തിൽ ഉൾപ്പെടുത്തിയിട്ടുണ്ട്.",
content,stakeholders.sso.tagline,Decades of community work.,പതിറ്റാണ്ടുകളുടെ സമൂഹ പ്രവർത്തനം.,
content,stakeholders.sso.metricLabel,years of palliative trust,പാലിയേറ്റീവ് ട്രസ്റ്റിന്റെ വർഷങ്ങൾ,
content,stakeholders.biz.label,Foundations & Trade Associations,ഫൗണ്ടേഷനുകളും ട്രേഡ് അസോസിയേഷനുകളും,
content,stakeholders.biz.group,Business,ബിസിനസ്,
content,stakeholders.biz.body,"Brought in as partners and co-creators rather than donors alone, with leaders sitting as ex-officio members of the SPV.","ദാതാക്കളെ മാത്രമായി കണക്കാക്കുന്നതിനുപകരം പങ്കാളികളായും സഹ-സ്രഷ്ടാക്കളായും കൊണ്ടുവന്നു, നേതാക്കൾ എസ്പിവിയുടെ എക്സ്-ഒഫീഷ്യോ അംഗങ്ങളായി ഇരിക്കുന്നു.",
content,stakeholders.biz.members,Business-derived foundations and trade bodies.,ബിസിനസ്സിൽ നിന്നുള്ള ഫൗണ്ടേഷനുകളും വ്യാപാര സ്ഥാപനങ്ങളും.,
content,stakeholders.biz.tagline,"Co-creators, not just donors.","ദാതാക്കൾ മാത്രമല്ല, സഹ-സ്രഷ്ടാക്കളും.",
content,stakeholders.biz.metricLabel,ex-officio SPV seats,എക്സ്-ഒഫീഷ്യോ എസ്‌പിവി സീറ്റുകൾ,
content,starModel.panel.membersLabel,Members,അംഗങ്ങൾ,
content,starModel.panel.auto,Auto,ഓട്ടോ,
content,starModel.panel.paused,Paused,താൽക്കാലികമായി നിർത്തി,
# === CONTENT · THREE STEPS ===,,,,
content,threeSteps.1.title,Identify care needs,പരിചരണ ആവശ്യങ്ങൾ തിരിച്ചറിയുക,
content,threeSteps.1.body,"Map the actual care needs of each community, household by household. Move from assumption to evidence.",ഓരോ കുടുംബത്തിന്റെയും യഥാർത്ഥ പരിചരണ ആവശ്യങ്ങൾ ഓരോ കുടുംബമായി മാപ്പ് ചെയ്യുക. അനുമാനത്തിൽ നിന്ന് തെളിവുകളിലേക്ക് നീങ്ങുക.,
content,threeSteps.2.title,Map existing services,നിലവിലുള്ള സേവനങ്ങൾ മാപ്പ് ചെയ്യുക,
content,threeSteps.2.body,"Inventory current healthcare, palliative, and community capacity already operating in the geography.","ഭൂമിശാസ്ത്രത്തിൽ ഇതിനകം പ്രവർത്തിക്കുന്ന നിലവിലെ ആരോഗ്യ സംരക്ഷണം, പാലിയേറ്റീവ്, കമ്മ്യൂണിറ്റി ശേഷി എന്നിവ ഇൻവെന്ററി ചെയ്യുക.",
content,threeSteps.3.title,Assess the gaps,വിടവുകൾ വിലയിരുത്തുക,
content,threeSteps.3.body,"Identify gaps in care delivery, scheduling, and resource availability. The gap analysis becomes the brief.","പരിചരണ വിതരണം, ഷെഡ്യൂളിംഗ്, വിഭവ ലഭ്യത എന്നിവയിലെ വിടവുകൾ തിരിച്ചറിയുക. വിടവ് വിശകലനം ചുരുക്കമായി മാറുന്നു.",
# === CONTENT · TRACKS (5) ===,,,,
content,tracks.1.title,Visioning Workshop & Concurrence from Community Leadership,വിഷനിംഗ് വർക്ക്‌ഷോപ്പും കമ്മ്യൂണിറ്റി നേതൃത്വത്തിന്റെ സമ്മതവും,
content,tracks.1.summary,"Sponsors, trade body leaders, and IMA leaders convened to discuss and decide on moving forward, reaffirmed principles, and agreed on next steps.","സ്പോൺസർമാർ, ട്രേഡ് ബോഡി നേതാക്കൾ, ഐഎംഎ നേതാക്കൾ എന്നിവർ യോഗം ചേർന്ന് മുന്നോട്ട് പോകുന്നതിനെക്കുറിച്ച് ചർച്ച ചെയ്യുകയും തീരുമാനിക്കുകയും ചെയ്തു, തത്വങ്ങൾ ആവർത്തിച്ച് ഉറപ്പിച്ചു, അടുത്ത ഘട്ടങ്ങളെക്കുറിച്ച് യോജിച്ചു.",
content,tracks.1.output,"Formation of the Special Purpose Vehicle (SPV), led by IMA, with sponsors as core members and trade association leaders as ex-officio members.",സ്പോൺസർമാരെ കോർ അംഗങ്ങളായും ട്രേഡ് അസോസിയേഷൻ നേതാക്കൾ എക്സ്-ഒഫീഷ്യോ അംഗങ്ങളായും ഉൾപ്പെടുത്തി ഐഎംഎ നയിക്കുന്ന സ്പെഷ്യൽ പർപ്പസ് വെഹിക്കിൾ (എസ്പിവി) രൂപീകരണം.,
content,tracks.1.point1,Principles reaffirmed and design ideas shared.,തത്വങ്ങൾ വീണ്ടും ഉറപ്പിക്കുകയും ഡിസൈൻ ആശയങ്ങൾ പങ്കുവെക്കുകയും ചെയ്തു.,
content,tracks.1.point2,Trade associations awaiting clarity on actions and operating model.,പ്രവർത്തനങ്ങളെയും പ്രവർത്തന മാതൃകയെയും കുറിച്ചുള്ള വ്യക്തതയ്ക്കായി കാത്തിരിക്കുന്ന വ്യാപാര സംഘടനകൾ.,
content,tracks.1.point3,SPV converts intention into accountable structure.,എസ്‌പി‌വി ഉദ്ദേശ്യത്തെ ഉത്തരവാദിത്ത ഘടനയാക്കി മാറ്റുന്നു.,
content,tracks.2.title,Strategy Deployment & the 100-Day Action Plan,തന്ത്ര വിന്യാസവും 100 ദിവസത്തെ കർമ്മ പദ്ധതിയും,
content,tracks.2.summary,"Coordination committee meetings across districts, beginning with Malappuram, Ernakulam, Kottayam, and Thiruvananthapuram.","മലപ്പുറം, എറണാകുളം, കോട്ടയം, തിരുവനന്തപുരം തുടങ്ങി ജില്ലകളിലെ ഏകോപന സമിതി യോഗങ്ങൾ.",
content,tracks.2.output,"A unified dashboard capturing palliative + primary healthcare, donations, and quantity/quality gaps.","പാലിയേറ്റീവ് + പ്രാഥമിക ആരോഗ്യ സംരക്ഷണം, സംഭാവനകൾ, അളവ്/ഗുണനിലവാര വിടവുകൾ എന്നിവ പകർത്തുന്ന ഒരു ഏകീകൃത ഡാഷ്‌ബോർഡ്.",
content,tracks.2.point1,"District meetings bring major donors, home-care heads, and trade leaders together.","ജില്ലാ യോഗങ്ങൾ പ്രധാന ദാതാക്കളെയും, ഹോം-കെയർ മേധാവികളെയും, വ്യാപാര നേതാക്കളെയും ഒരുമിച്ച് കൊണ്ടുവരുന്നു.",
content,tracks.2.point2,Roll out interface systems for identifying care seekers and raising resources.,പരിചരണം തേടുന്നവരെ തിരിച്ചറിയുന്നതിനും വിഭവങ്ങൾ ശേഖരിക്കുന്നതിനുമായി ഇന്റർഫേസ് സംവിധാനങ്ങൾ വികസിപ്പിക്കുക.,
content,tracks.2.point3,"Care planning, scheduling, and family empowerment delivered by professionals.","പരിചരണ ആസൂത്രണം, ഷെഡ്യൂളിംഗ്, കുടുംബ ശാക്തീകരണം എന്നിവ പ്രൊഫഷണലുകൾ നൽകുന്നു.",
content,tracks.3.title,Gap Assessment & Care Program Building,ഗ്യാപ് അസസ്‌മെന്റ് & കെയർ പ്രോഗ്രാം ബിൽഡിംഗ്,
content,tracks.3.summary,Coordination structures bring the medical fraternity into community health care across three layers.,ഏകോപന ഘടനകൾ മെഡിക്കൽ സാഹോദര്യത്തെ മൂന്ന് തലങ്ങളിലായി കമ്മ്യൂണിറ്റി ഹെൽത്ത് കെയറിലേക്ക് കൊണ്ടുവരുന്നു.,
content,tracks.3.output,"Initial deployment across 100 places in Kerala, pioneered at the district level.","കേരളത്തിലെ 100 സ്ഥലങ്ങളിൽ പ്രാരംഭ വിന്യാസം, ജില്ലാ തലത്തിൽ തുടക്കമിട്ടു.",
content,tracks.3.point1,"Hospitals - specialist panels, super-specialist referral chains, bio-cluster model at district scale.","ആശുപത്രികൾ - സ്പെഷ്യലിസ്റ്റ് പാനലുകൾ, സൂപ്പർ-സ്പെഷ്യലിസ്റ്റ് റഫറൽ ശൃംഖലകൾ, ജില്ലാ തലത്തിൽ ബയോ-ക്ലസ്റ്റർ മാതൃക.",
content,tracks.3.point2,"Family Clinics - empowered with digital systems, escalation, home-care integration, logistics.","ഫാമിലി ക്ലിനിക്കുകൾ - ഡിജിറ്റൽ സംവിധാനങ്ങൾ, വർദ്ധനവ്, ഹോം-കെയർ സംയോജനം, ലോജിസ്റ്റിക്സ് എന്നിവയാൽ ശാക്തീകരിക്കപ്പെട്ടിരിക്കുന്നു.",
content,tracks.3.point3,"Neighbourhood Systems - HCP coordination, psychosocial support, community engagement.","അയൽപക്ക സംവിധാനങ്ങൾ - എച്ച്.സി.പി ഏകോപനം, മാനസിക സാമൂഹിക പിന്തുണ, സമൂഹ ഇടപെടൽ.",
content,tracks.4.title,Capacity Building at IMA,ഐഎംഎയിലെ ശേഷി വികസനം,
content,tracks.4.summary,Five concrete management capabilities developed as the operating core.,പ്രവർത്തന കേന്ദ്രമായി അഞ്ച് മൂർത്തമായ മാനേജ്മെന്റ് കഴിവുകൾ വികസിപ്പിച്ചെടുത്തു.,
content,tracks.4.output,"An IMA capable of inspiring health, mentoring practitioners, and ensuring respite for caregivers.","ആരോഗ്യത്തെ പ്രചോദിപ്പിക്കാനും, പ്രാക്ടീഷണർമാരെ മെന്റർ ചെയ്യാനും, പരിചരണം നൽകുന്നവർക്ക് ആശ്വാസം ഉറപ്പാക്കാനും കഴിവുള്ള ഒരു IMA.",
content,tracks.4.point1,Capacity Map of the State - hospitals around geographical converging points; outreach time as metric.,സംസ്ഥാനത്തിന്റെ ശേഷി ഭൂപടം - ഭൂമിശാസ്ത്രപരമായ ഒത്തുചേരൽ പോയിന്റുകൾക്ക് ചുറ്റുമുള്ള ആശുപത്രികൾ; മെട്രിക് ആയി ഔട്ട്റീച്ച് സമയം.,
content,tracks.4.point2,Speciality Department Distribution - no patient or specialist travels more than 25 km.,സ്പെഷ്യാലിറ്റി ഡിപ്പാർട്ട്മെന്റ് ഡിസ്ട്രിബ്യൂഷൻ - ഒരു രോഗിയോ സ്പെഷ്യലിസ്റ്റോ 25 കിലോമീറ്ററിൽ കൂടുതൽ സഞ്ചരിക്കരുത്.,
content,tracks.4.point3,Information System - compassionate flow of patient information from home to specialist.,വിവര സംവിധാനം - വീട്ടിൽ നിന്ന് സ്പെഷ്യലിസ്റ്റിലേക്ക് രോഗിയുടെ വിവരങ്ങൾ കാരുണ്യപൂർവ്വം എത്തിക്കുന്ന സംവിധാനം.,
